uuid_parent;uuid;action;fin_serie;num_bag;num_bag2;num_bag3;bague;sex;age_plume;tarsed;poids;collect;meas_com;id_img;more_chicks
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[1];bcj;4203;10174203;NA;NA;10174203;NA;15;17.3;10.2;;;;oui
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[2];bcj;4204;10174204;NA;NA;10174204;NA;15.5;17.7;10.8;;;;oui
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[3];bcj;4205;10174205;NA;NA;10174205;NA;15;17.2;10.2;;;;oui
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[4];bcj;4206;10174206;NA;NA;10174206;NA;15;17.2;11.2;;;;oui
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[5];bcj;4207;10174207;NA;NA;10174207;NA;15;17.1;10.7;;;;oui
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[6];bcj;4208;10174208;NA;NA;10174208;NA;15;17.2;10.2;;;;oui
uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69/poussin[7];bcj;4209;10174209;NA;NA;10174209;NA;15;17.1;10;;;;non
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[1];bcj;601;10423601;NA;NA;10423601;3;15;17.86;10.8;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[2];bcj;602;10423602;NA;NA;10423602;3;15;17.3;10.7;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[3];bcj;603;10423603;NA;NA;10423603;3;13;16.8;10.3;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[4];bcj;604;10423604;NA;NA;10423604;3;13.5;17.51;10.2;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[5];bcj;605;10423605;NA;NA;10423605;3;14;17.22;10.3;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[6];bcj;606;10423606;NA;NA;10423606;3;14;16.9;NA;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[7];bcj;607;10423607;NA;NA;10423607;3;13.5;16.18;9.6;;;;oui
uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07/poussin[8];bcj;608;10423608;NA;NA;10423608;3;15;17.3;10.3;;;;oui
