date_soumission;uuid;start;username;end;date_brute;date_mesure;lieu;nic;nic_hs_Latitude;nic_hs_Longitude;nic_hs_Altitude;nic_hs_Accuracy;espece;espece_autre;heure;obs;debut_serie;nest_com;npul;poussin_count;instanceName
2026-05-04T09:21:44.093Z;uuid:61b236a6-4af7-4068-b1bb-a311d7fe1f69;2026-05-04T11:05:37.654+02:00;AFA;2026-05-04T11:21:42.003+02:00;2026-05-04;04/05/2026;gram;2;;;;;ble;;11:05:00.000+02:00;AFA;1017;;7;7;POUS_04/05/2026_gram2
2026-05-03T10:25:52.330Z;uuid:89f0624d-2405-40f5-9d6b-1b08fd088d07;2026-05-03T08:44:58.351+02:00;TabA11_bleue ;2026-05-03T09:10:00.985+02:00;2026-05-03;03/05/2026;rou;238;;;;;ble;;08:44:00.000+02:00;Fb;10423;;11;11;POUS_03/05/2026_rou238
2026-05-03T09:46:11.069Z;uuid:a778b270-ed69-41d0-8590-da7e45aebeb4;2026-05-03T11:02:32.504+02:00;AFA;2026-05-03T11:46:09.991+02:00;2026-05-03;03/05/2026;mas;42;;;;;cha;;11:02:00.000+02:00;AFA;V041;;2;2;POUS_03/05/2026_mas42
2026-05-03T08:16:24.806Z;uuid:0b2a7a5f-6c6b-4517-98b5-d806ab209c05;2026-05-03T09:56:51.383+02:00;AFA;2026-05-03T10:16:23.733+02:00;2026-05-03;03/05/2026;mas;17;;;;;cha;;09:56:00.000+02:00;AFA;V041;;3;3;POUS_03/05/2026_mas17
2026-05-03T08:11:31.672Z;uuid:92e290b6-360e-4f57-b169-e1fbef883ec7;2026-05-03T09:52:34.611+02:00;AFA;2026-05-03T10:11:30.125+02:00;2026-05-03;03/05/2026;zoo;14;;;;;cha;;09:50:00.000+02:00;SB;V041;;8;8;POUS_03/05/2026_zoo14
2026-05-03T07:07:38.961Z;uuid:be3b1596-14f9-439f-9c64-1bd12338c63b;2026-05-03T09:03:09.197+02:00;AFA;2026-05-03T09:07:34.073+02:00;2026-05-03;03/05/2026;font;30;;;;;cha;;09:03:00.000+02:00;AFA;V041;;2;2;POUS_03/05/2026_font30
2026-05-02T08:21:13.808Z;uuid:2a19dcca-7680-4122-a9f8-959a31425a29;2026-05-02T10:07:40.833+02:00;;2026-05-02T10:21:13.228+02:00;2026-05-02;02/05/2026;gram;25;;;;;ble;;10:07:00.000+02:00;Sp;9485;;7;7;POUS_02/05/2026_gram25
2026-05-02T07:13:34.438Z;uuid:fcd4379f-b579-484b-acb2-a428f7f31f08;2026-05-02T08:55:35.195+02:00;AFA;2026-05-02T09:13:32.927+02:00;2026-05-02;02/05/2026;mos;42;;;;;cha;;08:55:00.000+02:00;CF;V041;;8;8;POUS_02/05/2026_mos42
2026-04-30T09:54:37.249Z;uuid:822011fe-2a5f-420a-bd0c-4705904bc3c0;2026-04-30T11:51:46.606+02:00;AFA;2026-04-30T11:54:34.298+02:00;2026-04-30;30/04/2026;mas;23;;;;;cha;;11:51:00.000+02:00;AFA;V041;;2;2;POUS_30/04/2026_mas23
2026-04-30T07:12:54.768Z;uuid:c6eac84b-d285-409a-b6e3-c0db80784561;2026-04-30T09:00:22.846+02:00;username not found;2026-05-04T14:37:17.793+02:00;2026-04-30;30/04/2026;fac;24;;;;;cha;;09:00:00.000+02:00;Ac;V040;2 parents alarment - 15 degres;6;6;POUS_30/04/2026_fac24
2026-04-30T06:37:57.988Z;uuid:ea2886e4-abb6-4e47-bc5a-ad3c395c0ca5;2026-04-30T08:24:29.559+02:00;;2026-04-30T08:37:55.691+02:00;2026-04-30;30/04/2026;cef;9;;;;;cha;;08:22:00.000+02:00;AC;V040;2 parents alarment;6;6;POUS_30/04/2026_cef9
2026-04-29T09:48:47.369Z;uuid:c118a7a7-0aea-4714-9daa-34da7c038be9;2026-04-29T11:38:27.234+02:00;AFA;2026-04-29T11:48:45.622+02:00;2026-04-29;29/04/2026;mos;23;;;;;cha;;11:38:00.000+02:00;Cf;V041;;5;5;POUS_29/04/2026_mos23
2026-04-28T07:37:47.573Z;uuid:465cb475-4904-4da6-a55f-ebe4d6b7bec3;2026-04-28T09:19:18.735+02:00;AFA;2026-04-28T09:37:46.500+02:00;2026-04-28;28/04/2026;mos;20;;;;;cha;;09:19:00.000+02:00;AFA;V041;;8;8;POUS_28/04/2026_mos20
2026-04-27T14:11:05.688Z;uuid:96f67445-a0ac-411a-aa71-e9728c58c7e0;2026-04-27T16:00:48.762+02:00;;2026-04-27T16:11:05.254+02:00;2026-04-27;27/04/2026;gram;45;;;;;cha;;16:00:00.000+02:00;Sp;V071;;4;4;POUS_27/04/2026_gram45
2026-04-27T08:46:53.698Z;uuid:76114b71-3d1e-42b3-a07f-e627bc8cd829;2026-04-27T10:28:09.850+02:00;;2026-04-27T10:46:52.654+02:00;2026-04-27;27/04/2026;cef;12;;;;;cha;;10:28:00.000+02:00;Ac;V040;Debrousailleurs sous le nichoir!;8;8;POUS_27/04/2026_cef12
2026-04-24T08:24:59.845Z;uuid:0b9a621a-9bc1-48c8-932e-ac0ab73e78ad;2026-04-24T10:13:10.795+02:00;;2026-04-24T10:24:58.981+02:00;2026-04-24;24/04/2026;zoo;10;;;;;cha;;10:13:00.000+02:00;AC;V040;Parents alrament;3;3;POUS_24/04/2026_zoo10
2026-04-22T14:40:26.524Z;uuid:ea767fbe-4bbb-406d-b1f9-245e0385bf26;2026-04-22T16:00:21.465+02:00;AFA;2026-04-22T16:40:24.409+02:00;2026-04-22;22/04/2026;cef;5;;;;;cha;;16:00:00.000+02:00;AFA;V041;;3;3;POUS_22/04/2026_cef5
