"date_mesure","nic","heure","obs","espece","action","bague","sexe","age"
"30/04/2026",238,"08:56","FB","ble","ct","9283037","M","A"
"30/04/2026",19,"10:23","PG","ble","ct","9298900","F","A"
"30/04/2026",19,"09:53","PG","ble","bcj","8860640","M","A"
"30/04/2026",270,"11:10","PG","ble","ct","9298069","F","A"
"30/04/2026",270,"11:30","PG","ble","ct","9283022","M","A"
"02/05/2026",49,"09:45","FB","ble","ct","8863305","F","A"
"02/05/2026",51,"08:48","FB","ble","ct","9485742","F","J"
"02/05/2026",80,"12:38","FB","ble","ct","8802275","F","A"
"02/05/2026",80,"11:54","FB","ble","ct","9485718","M","J"
"02/05/2026",314,"10:36","FB","ble","ct","9486457","M","J"
"02/05/2026",69,"08:55","PG","ble","ct","9486101","F","A"
"02/05/2026",209,"11:07","PG","ble","ct","10174436","F","J"
"02/05/2026",209,"11:27","PG","ble","bcj","8860639","M","J"
"02/05/2026",238,"10:30","PG","ble","ct","9486405","F","A"
"03/05/2026",91,"11:04","FB","ble","ct","9283024","F","A"
"03/05/2026",91,"11:24","FB","ble","ct","9974248","M","A"
"03/05/2026",226,"09:22","FB","ble","ct","10174492","F","J"
"03/05/2026",226,"10:24","FB","ble","ct","10174364","M","J"
"03/05/2026",83,"10:55","PG","ble","ct","9283080","F","A"
"03/05/2026",83,"09:58","PG","ble","ct","9298806","M","A"
"03/05/2026",243,"09:07","PG","ble","bcj","8860644","F","J"
"03/05/2026",243,"08:43","PG","ble","ct","10174518","M","J"
"05/05/2026",69,"08:17","PG","ble","ct","8862306","M","J"
"06/05/2026",103,"11:58","FB","ble","ct","9733596","M","A"
"06/05/2026",324,"08:15","FB","cha","ct","V019912","M","A"
"06/05/2026",317,"12:15","PG","ble","ct","8804498","F","A"
"06/05/2026",317,"12:40","PG","ble","ct","9282051","M","A"
"06/05/2026",324,"08:32","PG","cha","ct","V019695","F","A"
"06/05/2026",326,"08:47","PG","cha","bcj","8860641","F","J"
"06/05/2026",326,"09:03","PG","cha","bcj","8860642","M","J"
"07/05/2026",89,"10:13","FB","ble","ct","9298967","F","J"
"07/05/2026",89,"10:57","FB","ble","ct","10174628","M","J"
"07/05/2026",338,"08:21","FB","cha","bcj","9733900","F","A?"
"07/05/2026",217,"10:00","PG","ble","bcj","8860643","F","J"
"07/05/2026",343,"08:55","PG","ble","ct","9485770","F","J"
"07/05/2026",343,"08:30","PG","ble","ct","9486433","M","A"
"07/05/2026",366,"12:05","PG","ble","bcj","8860649","F","J"
"07/05/2026",366,"11:25","PG","ble","ct","9486146","M","A"
"08/05/2026",67,"11:43","FB","ble","ct","9282219","F","A"
"08/05/2026",67,"12:41","FB","ble","bcj","10423658","M","J"
"08/05/2026",72,"11:12","FB","ble","bcj","10423657","F","J"
"08/05/2026",72,"10:49","FB","ble","bcj","10423656","M","J"
"08/05/2026",77,"10:17","FB","ble","ct","9283074","F","A"
"08/05/2026",77,"09:59","FB","ble","ct","8862869","M","A"
"08/05/2026",95,"08:39","FB","ble","ct","9485800","F","J"
"08/05/2026",95,"09:29","FB","ble","bcj","10423655","M","J"
"08/05/2026",161,"10:30","PG","ble","ct","9486462","F","J"
"08/05/2026",161,"10:00","PG","ble","ct","8189650","M","A"
"08/05/2026",169,"09:25","PG","ble","ct","8860614","F","A"
"08/05/2026",169,"09:00","PG","ble","ct","8863901","M","A"
"08/05/2026",236,"08:16","SB","cha","ct","9486119","F","A"
"08/05/2026",237,"09:59","SB","ble","ct","9733590","F","A"
"08/05/2026",318,"09:49","SC","ble","ct","9974494","F","A"
"08/05/2026",318,"08:46","SC","ble","ct","9298390","M","A"
"08/05/2026",319,"12:03","SC","ble","bcj","7974591","F","J"
"08/05/2026",319,"11:37","SC","ble","ct","10174482","M","J"
"09/05/2026",220,"10:03","CD","ble","ct","9485235","F","A?"
"09/05/2026",220,"09:43","CD","ble","ct","9485797","M","A"
"09/05/2026",306,"09:02","CD","ble","bcj","8804479","F","J"
"09/05/2026",306,"08:34","CD","ble","ct","8862305","M","A"
"09/05/2026",309,"12:15","CD","ble","ct","9298810","M","A"
"09/05/2026",312,"10:44","CD","ble","ct","10174435","F","J"
"09/05/2026",312,"11:39","CD","ble","ct","9974536","M","A"
"09/05/2026",325,"08:29","FB","ble","ct","9282045","F","A"
"09/05/2026",334,"12:50","FB","cha","bcj","10423659","F","J"
"09/05/2026",334,"13:02","FB","cha","ct","V056324","M","J"
"09/05/2026",368,"10:10","FB","ble","ct","10175022","M","J"
"09/05/2026",371,"11:42","FB","ble","ct","10174624","F","J"
"09/05/2026",371,"12:05","FB","ble","ct","10174612","M","J"
"09/05/2026",55,"10:00","PG","ble","bcj","8860650","F","J"
"09/05/2026",65,"08:08","PG","ble","ct","9282005","F","A?"
"09/05/2026",65,"09:10","PG","ble","ct","9283288","M","A"
"09/05/2026",321,"12:15","PG","ble","ct","9485752","F","J"
"10/05/2026",59,"08:28","FB","ble","bcj","10423660","F","J"
"10/05/2026",351,"10:21","FB","ble","ct","8380391","F","A"
"10/05/2026",216,"08:55","SC","ble","ct","9486435","F","A"
"10/05/2026",216,"09:27","SC","ble","bcj","7974593","M","J"
"10/05/2026",230,"10:48","SC","ble","ct","9486450","F","J"
"10/05/2026",230,"10:25","SC","ble","ct","9485799","M","J"
"10/05/2026",357,"11:37","SC","ble","bcj","7974594","F","J"
"10/05/2026",357,"11:57","SC","ble","ct","9485774","M","J"
"11/05/2026",206,"17:25","CF","cha","bcj","10423811","F","J"
"11/05/2026",52,"11:30","FB","cha","ct","8860622","F","A"
"11/05/2026",52,"11:06","FB","cha","bcj","10423664","M","J"
"11/05/2026",54,"10:32","FB","cha","bcj","10423663","F","J"
"11/05/2026",54,"09:40","FB","cha","bcj","10423662","M","J"
"11/05/2026",55,"12:14","FB","ble","bcj","10423665","M","J"
"11/05/2026",60,"08:48","FB","cha","ct","9486403","F","A"
"11/05/2026",60,"08:29","FB","cha","bcj","10423661","M","J"
"11/05/2026",347,"10:10","PG","ble","ct","9282101","F","A"
"11/05/2026",347,"10:30","PG","ble","ct","9485228","M","A"
