"date_mesure","lieu","nic","heure","obs","espece","action","bague","bague_couleur","sexe","age"
"05/05/2026","bot","1","08:29","S BOST","cha","ct","9486014","R10","F","A"
"09/05/2026","bot","1","13:54","SB","cha","ct","9486014","R10","F","A"
"09/05/2026","bot","1","13:24","SB","cha","ct","9298726","R54","M","A"
"08/05/2026","bot","3","12:40","SB","cha","bcj","10423809","Y88","F","J"
"12/05/2026","bot","3","12:25","CF","cha","ct","10423809","Y88","F","J"
"06/05/2026","bot","5","09:13","LM","cha","ct","9486351","Y59","F","A"
"09/05/2026","bot","7","12:45","AFA","cha","ct","9486221","S51","F","A"
"09/05/2026","bot","7","12:56","AFA","cha","ct","9486271","T03","M","A"
"20/04/2026","cef","5","11:50","FB","cha","ct","9486498",,"F","J"
"20/04/2026","cef","5","11:21","FB","cha","ct","9486177","Y73","M","J"
"30/04/2026","cef","8","17:34","CF","cha","ct","10352658",,"F","J"
"30/04/2026","cef","8","09:40","CF","cha","ct","10352208",,"M","J"
"05/05/2026","cef","8","11:32","S BOST","cha","ct","10352658","LN4","F","J"
"05/05/2026","cef","8","11:40","S BOST","cha","ct","10352208","X81","M","J"
"27/04/2026","cef","9","09:40","AC","cha","ct","9486039","LE2","F","A"
"27/04/2026","cef","9","09:58","AC","cha","ct","8184170","H76","M","A"
"11/05/2026","cef","11","06:48","AC","cha","ct","9298435","G03","F","A"
"11/05/2026","cef","11","07:43","AC","cha","ct","10352228","D92","M","J"
"24/04/2026","cef","12","08:02","AC","cha","ct","9733887","Y39","F","A"
"24/04/2026","cef","12","08:10","AC","cha","ct","9488805","T47","M","A"
"05/05/2026","fac","4","09:18","S BOST","cha","bcj","10423804",,"F","A"
"09/05/2026","fac","4","09:29","SB","cha","ct","10423804","T05","F","A"
"09/05/2026","fac","4","10:13","SB","cha","ct","9298713","P04","M","A"
"02/05/2026","fac","22","10:48","SB","cha","bcj","10423802","M93","F","J"
"02/05/2026","fac","22","10:36","CF","cha","ct","10174811","M53","M","J"
"27/04/2026","fac","24","10:34","AFA","cha","ct","9486312","S38","F","A"
"27/04/2026","fac","24","10:46","SP","cha","ct","9486313","S53","M","A"
"05/05/2026","font","2","09:16","AFA","cha","ct","8862568","R77","F","A"
"05/05/2026","font","2","09:25","SP","cha","ct","9733717","P09","M","A"
"11/05/2026","font","3","08:35","AFA","cha","bcj","10174219","PJ8","F","A"
"11/05/2026","font","3","08:48","AFA","cha","bcj","10174220","PM6","M","A"
"07/05/2026","font","4","09:20","AFA","cha","bcj","10174210","PN8","M","J"
"11/05/2026","font","7","09:50","AFA","cha","ct","V041641","S14","F","J"
"11/05/2026","font","7","08:58","SP","cha","bcj","10174221","PL1","M","A"
"30/04/2026","font","12","10:10","SP","cha","ct","9485409","D97","F","A"
"30/04/2026","font","12","09:51","AFA","cha","bcj","10174244","PX2","M","A"
"16/05/2026","font","13","12:07","SB","cha","bcj","10423824",,"F","A"
"16/05/2026","font","13","12:00","SB","cha","bcj","10423825",,"M","A"
"19/05/2026","font","13","12:36","CF","cha","ct","10423824","U24","F","A"
"19/05/2026","font","13","12:43","CF","cha","ct","10423825","X61","M","A"
"11/05/2026","font","16","10:30","SP","ble","bcj","9485119",,"F","J"
"11/05/2026","font","16","10:41","SP","ble","bcj","9485120",,"M","J"
"11/05/2026","font","17","10:25","AFA","cha","bcj","10174222","PN4","F","J"
"11/05/2026","font","17","11:05","SP","cha","bcj","9485121","T69","M","A"
"07/05/2026","font","18","10:40","BC","ble","bcj","10174242",,"F","J"
"07/05/2026","font","18","10:41","AFA","ble","bcj","10174211",,"M","J"
"07/05/2026","font","25","07:49","S BOST","cha","ct","9485429","G43","F","A"
"11/05/2026","font","25","15:13","CF","cha","ct","9485429","G43","F","A"
"30/04/2026","font","30","09:08","AFA","cha","bcj","10174245","PX7","F","J"
"02/05/2026","gram","2","09:19","SP","ble","bcj","9485110",,"F","J"
"02/05/2026","gram","2","07:57","SP","ble","bcj","9485109",,"M","J"
"18/05/2026","gram","5","09:58","AFA","cha","ct","V041882","PF8","F","J"
"18/05/2026","gram","5","09:40","AFA","cha","bcj","10424311","PJ1","M","A"
"10/05/2026","gram","7","09:13","AFA","cha","ct","9282419","U88","F","A"
"17/05/2026","gram","9","12:46","S BOST","cha","bcj","10423827",,"F","J"
"20/05/2026","gram","9","14:38","CF","cha","ct","10423827","UM2","F","J"
"14/05/2026","gram","10","08:40","SP","cha","ct","V019219","D60","F","A"
"14/05/2026","gram","10","08:10","AFA","cha","bcj","10174239","PT0","M","A"
"21/05/2026","gram","12","09:25","AFA","cha","bcj","10424318","PV3","F","A"
"21/05/2026","gram","12","08:50","SP","cha","bcj","10424316","PR5","M","A"
"09/05/2026","gram","14","12:08","SB","cha","ct","9485483","R67","F","A"
"13/05/2026","gram","14","15:18","CF","cha","ct","9485483","R67","F","A"
"10/05/2026","gram","16","09:00","AFA","cha","bcj","10174216","PR2","F","J"
"10/05/2026","gram","16","09:23","SP","cha","bcj","10174217","PK3","M","J"
"21/05/2026","gram","19","08:58","AFA","cha","bcj","10424317","PV6","F","A"
"21/05/2026","gram","19","08:40","AFA","cha","bcj","10424315","PA9","M","A"
"14/05/2026","gram","21","08:13","SP","cha","bcj","10174238","PU4","F","A"
"14/05/2026","gram","21","08:38","AFA","cha","bcj","10174240","PP4","M","J"
"02/05/2026","gram","25","09:43","SP","ble","bcj","9485111",,"F","A"
"02/05/2026","gram","25","09:55","SP","ble","ct","9298784",,"M","A"
"21/05/2026","gram","32","10:18","AFA","cha","bcj","10424319","PH7","F","A"
"18/05/2026","gram","33","08:16","SP","cha","bcj","10424306","PN3","F","J"
"18/05/2026","gram","33","08:48","SP","cha","bcj","10424308","PP3","M","J"
"18/05/2026","gram","35","09:03","SP","ble","bcj","10424310",,"F","J"
"18/05/2026","gram","35","08:57","AFA","ble","bcj","10424309",,"M","J"
"07/05/2026","gram","36","09:20","AG","cha","ct","8862467","D40","F","A"
"07/05/2026","gram","36","08:28","AG","cha","ct","V041831","S93","M","J"
