"age","type_obs","date_obs","lieu","nic","bague","darvic","sex"
"poussin","mort","20/05/2026","bot","3","V041748",,
"poussin","mort","20/05/2026","bot","3","V041747",,
"poussin","mort","20/05/2026","fac","22","V041436",,
"poussin","mort","13/05/2026","font","12","V041031",,
"poussin","mort","27/05/2026","font","16","10174236",,
"poussin","mort","27/05/2026","font","16","10174233",,
"poussin","mort","20/05/2026","font","25","V041745",,
"poussin","mort","28/05/2026","gram","47","V041489",,
"poussin","mort","28/05/2026","gram","58","V071834",,
"poussin","mort","28/05/2026","gram","58","V071831",,
"poussin","mort","13/05/2026","mas","23","V041423",,
"poussin","mort","13/05/2026","mas","23","V041422",,
"poussin","mort","13/05/2026","mas","42","V041430",,
"poussin","mort","13/05/2026","mas","42","V041429",,
"poussin","mort","20/05/2026","mas","44","V041446",,
"poussin","mort","18/06/2026","mos","2","V056867",,
"poussin","mort","18/05/2026","mos","18","V041735",,
"poussin","mort","18/05/2026","mos","18","V041734",,
"poussin","mort","18/05/2026","mos","18","V041733",,
"poussin","mort","07/05/2026","mos","23","V041702",,
"poussin","mort","07/05/2026","mos","23","V041704",,
"poussin","mort","26/05/2026","rou","57","10424030",,
"poussin","mort","19/05/2026","rou","80","10423636",,
"poussin","mort","19/05/2026","rou","80","10423635",,
"poussin","mort","19/05/2026","rou","89","8804481",,
"poussin","mort","19/05/2026","rou","89","9486398",,
"poussin","mort","19/05/2026","rou","89","9486396",,
"poussin","mort","19/05/2026","rou","89","9486394",,
"poussin","mort","19/05/2026","rou","103","10174660",,
"poussin","mort","27/05/2026","rou","161","9298125",,
"poussin","mort","27/05/2026","rou","161","9298124",,
"poussin","mort","27/05/2026","rou","161","9298123",,
"poussin","mort","27/05/2026","rou","161","9298122",,
"poussin","mort","27/05/2026","rou","161","9298121",,
"poussin","mort","27/05/2026","rou","161","9298120",,
"poussin","mort","27/05/2026","rou","161","9298119",,
"poussin","mort","19/05/2026","rou","217","10423816",,
"poussin","mort","19/05/2026","rou","306","10174002",,
"poussin","mort","19/05/2026","rou","317","8860654",,
"poussin","mort","19/05/2026","rou","317","8860651",,
"poussin","mort","19/05/2026","rou","317","8860652",,
"poussin","mort","23/06/2026","rou","344","10423559",,
"poussin","mort","23/06/2026","rou","344","10423557",,
"poussin","mort","23/06/2026","rou","344","10423554",,
"poussin","mort","23/06/2026","rou","344","10423553",,
"poussin","mort","24/05/2026","zoo","15","V072016",,
"poussin","mort","22/05/2026","zoo","29","V022000",,
"poussin","mort","24/05/2026","zoo","37","V071547",,
"poussin","mort","24/05/2026","zoo","46","V071534",,
"adulte","autre","22/03/2026","hs",,"9975126",,"F"
"adulte","mort","09/04/2026","gram","17","V041838",,"M"
"adulte","mort","18/03/2026","hs",,"10175653",,"F"
"adulte","mort","18/03/2026","hs",,"9487379",,"M"
"adulte","mort","19/05/2026","rou","317","8860653",,
"adulte","vu","17/04/2026","cef","9",,"H76","M"
"adulte","vu","17/04/2026","cef","9",,"LE2","F"
"adulte","vu","14/04/2026","font","4",,"U40","F"
"adulte","vu","29/04/2026","gram","36",,"D40","F"
"adulte","vu","16/04/2026","gram","45",,"U36","M"
"adulte","vu","04/06/2026","gram","50",,"H38","F"
"adulte","vu","14/05/2026","gram","59",,"S41","M"
"adulte","vu","03/05/2026","mas","42",,"PW2","F"
"adulte","vu","16/04/2026","mos","42",,"S13","F"
"adulte","vu","28/04/2026","rou","52",,"G31","F?"
"adulte","vu","12/05/2026","rou","56",,"T44","F?"
"adulte","vu","09/06/2026","rou","326",,"D74","F?"
"adulte","vu","06/05/2026","zoo","65",,"X01",
