"date_mesure","nic","heure","obs","espece","ordre_passage","bague"
"03/05/2026","238","08:44","FB","ble",1,"10423601"
"03/05/2026","238","08:44","FB","ble",2,"10423602"
"03/05/2026","238","08:44","FB","ble",3,"10423603"
"03/05/2026","238","08:44","FB","ble",4,"10423604"
"03/05/2026","238","08:44","FB","ble",5,"10423605"
"03/05/2026","238","08:44","FB","ble",6,"10423606"
"03/05/2026","238","08:44","FB","ble",7,"10423607"
"03/05/2026","238","08:44","FB","ble",8,"10423608"
"03/05/2026","238","08:44","FB","ble",9,"10423609"
"03/05/2026","238","08:44","FB","ble",10,"10423610"
"03/05/2026","238","08:44","FB","ble",11,"10423611"
"05/05/2026","19","11:15","CT","ble",1,"10174651"
"05/05/2026","19","11:15","CT","ble",2,"10174652"
"05/05/2026","19","11:15","CT","ble",3,"10174653"
"05/05/2026","19","11:15","CT","ble",4,"10174654"
"05/05/2026","19","11:15","CT","ble",5,"10174655"
"05/05/2026","19","11:15","CT","ble",6,"10174656"
"05/05/2026","19","11:15","CT","ble",7,"10174657"
"05/05/2026","19","11:15","CT","ble",8,"10174658"
"05/05/2026","270","09:01","FB","ble",1,"10423612"
"05/05/2026","270","09:01","FB","ble",2,"10423613"
"05/05/2026","270","09:01","FB","ble",3,"10423614"
"05/05/2026","270","09:01","FB","ble",4,"10423615"
"05/05/2026","270","09:01","FB","ble",5,"10423616"
"05/05/2026","270","09:01","FB","ble",6,"10423617"
"05/05/2026","270","09:01","FB","ble",7,"10423618"
"05/05/2026","270","09:01","FB","ble",8,"10423619"
"05/05/2026","270","09:01","FB","ble",9,"10423620"
"05/05/2026","270","09:01","FB","ble",10,"10423621"
"06/05/2026","80","13:23","FB","ble",1,"10423634"
"06/05/2026","80","13:23","FB","ble",2,"10423635"
"06/05/2026","80","13:23","FB","ble",3,"10423636"
"06/05/2026","314","11:17","FB","ble",1,"10423622"
"06/05/2026","314","11:17","FB","ble",2,"10423623"
"06/05/2026","314","11:17","FB","ble",3,"10423624"
"06/05/2026","314","11:17","FB","ble",4,"10423625"
"06/05/2026","314","11:17","FB","ble",5,"10423626"
"06/05/2026","314","11:17","FB","ble",6,"10423627"
"06/05/2026","314","11:17","FB","ble",7,"10423628"
"06/05/2026","314","11:17","FB","ble",8,"10423629"
"06/05/2026","314","11:17","FB","ble",9,"10423630"
"06/05/2026","314","11:17","FB","ble",10,"10423631"
"06/05/2026","314","11:17","FB","ble",11,"10423632"
"06/05/2026","314","11:17","FB","ble",12,"10423633"
"06/05/2026","49","11:20","PG","ble",1,"8860645"
"06/05/2026","49","11:20","PG","ble",2,"8860646"
"06/05/2026","49","11:20","PG","ble",3,"8860647"
"06/05/2026","49","11:20","PG","ble",4,"8860648"
"07/05/2026","69","11:57","FB","ble",1,"10423644"
"07/05/2026","69","11:57","FB","ble",2,"10423645"
"07/05/2026","69","11:57","FB","ble",3,"10423646"
"07/05/2026","69","11:57","FB","ble",4,"10423647"
"07/05/2026","69","11:57","FB","ble",5,"10423648"
"07/05/2026","69","11:57","FB","ble",6,"10423649"
"07/05/2026","69","11:57","FB","ble",7,"10423650"
"07/05/2026","69","11:57","FB","ble",8,"10423651"
"07/05/2026","69","11:57","FB","ble",9,"10423652"
"07/05/2026","69","11:57","FB","ble",10,"10423653"
"07/05/2026","69","11:57","FB","ble",11,"10423654"
"07/05/2026","209","11:26","FB","ble",1,"10423637"
"07/05/2026","209","11:26","FB","ble",2,"10423638"
"07/05/2026","209","11:26","FB","ble",3,"10423639"
"07/05/2026","209","11:26","FB","ble",4,"10423640"
"07/05/2026","209","11:26","FB","ble",5,"10423641"
"07/05/2026","209","11:26","FB","ble",6,"10423642"
"07/05/2026","209","11:26","FB","ble",7,"10423643"
"08/05/2026","83","09:57","CT","ble",1,"10174671"
"08/05/2026","83","09:57","CT","ble",2,"10174672"
"08/05/2026","83","09:57","CT","ble",3,"10174673"
"08/05/2026","83","09:57","CT","ble",4,"10174674"
"08/05/2026","83","09:57","CT","ble",5,"10174675"
"08/05/2026","83","09:57","CT","ble",6,"10174676"
"08/05/2026","83","09:57","CT","ble",7,"10174677"
"08/05/2026","83","09:57","CT","ble",8,"10174678"
"08/05/2026","83","09:57","CT","ble",9,"10174679"
"08/05/2026","83","09:57","CT","ble",10,"10174680"
"08/05/2026","91","09:14","CT","ble",1,"10174664"
"08/05/2026","91","09:14","CT","ble",2,"10174665"
"08/05/2026","91","09:14","CT","ble",3,"10174666"
"08/05/2026","91","09:14","CT","ble",4,"10174667"
"08/05/2026","91","09:14","CT","ble",5,"10174668"
"08/05/2026","91","09:14","CT","ble",6,"10174669"
"08/05/2026","91","09:14","CT","ble",7,"10174670"
"08/05/2026","103","08:43","CT","ble",1,"10174659"
"08/05/2026","103","08:43","CT","ble",2,"10174660"
"08/05/2026","103","08:43","CT","ble",3,"10174661"
"08/05/2026","103","08:43","CT","ble",4,"10174662"
"08/05/2026","103","08:43","CT","ble",5,"10174663"
"08/05/2026","243","11:30","CT","ble",1,"10174681"
"08/05/2026","243","11:30","CT","ble",2,"10174682"
"08/05/2026","243","11:30","CT","ble",3,"10174683"
"08/05/2026","243","11:30","CT","ble",4,"10174684"
"08/05/2026","243","11:30","CT","ble",5,"10174685"
"08/05/2026","243","11:30","CT","ble",6,"10174686"
"08/05/2026","243","11:30","CT","ble",7,"10174687"
"08/05/2026","243","11:30","CT","ble",8,"10174688"
"08/05/2026","226","10:20","SB","ble",1,"10423805"
"08/05/2026","226","10:20","SB","ble",2,"10423806"
"08/05/2026","226","10:20","SB","ble",3,"10423807"
"08/05/2026","226","10:20","SB","ble",4,"10423808"
