"date_mesure","lieu","nic","heure","obs","espece","ordre_passage","bague"
"09/05/2026","bot","1","14:03","SB","cha",1,"V041739"
"09/05/2026","bot","1","14:03","SB","cha",2,"V041740"
"09/05/2026","bot","1","14:03","SB","cha",3,"V041741"
"09/05/2026","bot","1","14:03","SB","cha",4,"V041742"
"12/05/2026","bot","3","13:13","CF","cha",1,"V041746"
"12/05/2026","bot","3","13:13","CF","cha",2,"V041747"
"12/05/2026","bot","3","13:13","CF","cha",3,"V041748"
"12/05/2026","bot","3","13:13","CF","cha",4,"V041749"
"12/06/2026","bot","5","14:09","AFA","cha",1,"V056872"
"12/06/2026","bot","5","14:09","AFA","cha",2,"V056873"
"12/05/2026","bot","7","13:26","CF","cha",1,"V041750"
"12/05/2026","bot","7","13:26","CF","cha",2,"V041751"
"12/05/2026","bot","7","13:26","CF","cha",3,"V041752"
"22/04/2026","cef","5","16:00","AFA","cha",1,"V041410"
"22/04/2026","cef","5","16:00","AFA","cha",2,"V041411"
"22/04/2026","cef","5","16:00","AFA","cha",3,"V041412"
"05/05/2026","cef","8","11:50","S BOST","cha",1,"V041722"
"05/05/2026","cef","8","11:50","S BOST","cha",2,"V041723"
"05/05/2026","cef","8","11:50","S BOST","cha",3,"V041724"
"05/05/2026","cef","8","11:50","S BOST","cha",4,"V041725"
"05/05/2026","cef","8","11:50","S BOST","cha",5,"V041726"
"05/05/2026","cef","8","11:50","S BOST","cha",6,"V041727"
"30/04/2026","cef","9","08:22","AC","cha",1,"V040780"
"30/04/2026","cef","9","08:22","AC","cha",2,"V040781"
"30/04/2026","cef","9","08:22","AC","cha",3,"V040782"
"30/04/2026","cef","9","08:22","AC","cha",4,"V040783"
"30/04/2026","cef","9","08:22","AC","cha",5,"V040784"
"30/04/2026","cef","9","08:22","AC","cha",6,"V040785"
"11/06/2026","cef","9","12:01","AFA","cha",1,"V056861"
"11/06/2026","cef","9","12:01","AFA","cha",2,"V056862"
"11/06/2026","cef","9","12:01","AFA","cha",3,"V056863"
"11/06/2026","cef","9","12:01","AFA","cha",4,"V056864"
"11/06/2026","cef","9","12:01","AFA","cha",5,"V056865"
"13/05/2026","cef","11","14:10","LM","cha",1,"V056609"
"13/05/2026","cef","11","14:10","LM","cha",2,"V056610"
"13/05/2026","cef","11","14:10","LM","cha",3,"V056611"
"13/05/2026","cef","11","14:10","LM","cha",4,"V056612"
"13/05/2026","cef","11","14:10","LM","cha",5,"V056613"
"27/04/2026","cef","12","10:28","AC","cha",1,"V040772"
"27/04/2026","cef","12","10:28","AC","cha",2,"V040773"
"27/04/2026","cef","12","10:28","AC","cha",3,"V040774"
"27/04/2026","cef","12","10:28","AC","cha",4,"V040775"
"27/04/2026","cef","12","10:28","AC","cha",5,"V040776"
"27/04/2026","cef","12","10:28","AC","cha",6,"V040777"
"27/04/2026","cef","12","10:28","AC","cha",7,"V040778"
"27/04/2026","cef","12","10:28","AC","cha",8,"V040779"
"14/06/2026","cef","13","08:36","AFA","cha",1,"V056874"
"14/06/2026","cef","13","08:36","AFA","cha",2,"V056875"
"14/06/2026","cef","13","08:36","AFA","cha",3,"V056876"
"14/06/2026","cef","13","08:36","AFA","cha",4,"V056877"
"14/06/2026","cef","13","08:36","AFA","cha",5,"V056878"
"14/06/2026","cef","13","08:36","AFA","cha",6,"V056879"
"09/05/2026","fac","4","10:23","SB","cha",1,"V041736"
"09/05/2026","fac","4","10:23","SB","cha",2,"V041737"
"09/05/2026","fac","4","10:23","SB","cha",3,"V041738"
"14/06/2026","fac","13","09:25","AFA","cha",1,"V056880"
"14/06/2026","fac","13","09:25","AFA","cha",2,"V056881"
"14/06/2026","fac","13","09:25","AFA","cha",3,"V056882"
"14/06/2026","fac","13","09:25","AFA","cha",4,"V056883"
"06/05/2026","fac","22","11:58","AFA","cha",1,"V041436"
"06/05/2026","fac","22","11:58","AFA","cha",2,"V041437"
"06/05/2026","fac","22","11:58","AFA","cha",3,"V041438"
"06/05/2026","fac","22","11:58","AFA","cha",4,"V041439"
"06/05/2026","fac","22","11:58","AFA","cha",5,"V041440"
"30/04/2026","fac","24","09:00","AC","cha",1,"V040786"
"30/04/2026","fac","24","09:00","AC","cha",2,"V040787"
"30/04/2026","fac","24","09:00","AC","cha",3,"V040788"
"30/04/2026","fac","24","09:00","AC","cha",4,"V040789"
"30/04/2026","fac","24","09:00","AC","cha",5,"V040790"
"30/04/2026","fac","24","09:00","AC","cha",6,"V040791"
"09/05/2026","font","2","14:03","AFA","cha",1,"V041441"
"09/05/2026","font","2","14:03","AFA","cha",2,"V041442"
"09/05/2026","font","2","14:03","AFA","cha",3,"V041443"
"09/05/2026","font","2","14:03","AFA","cha",4,"V041444"
"09/05/2026","font","2","14:03","AFA","cha",5,"V041445"
"13/05/2026","font","3","08:59","AFA","cha",1,"V041464"
"13/05/2026","font","3","08:59","AFA","cha",2,"V041465"
"13/05/2026","font","3","08:59","AFA","cha",3,"V041466"
"13/05/2026","font","3","08:59","AFA","cha",4,"V041467"
"15/06/2026","font","5","10:31","AFA","cha",1,"V056890"
"15/06/2026","font","5","10:31","AFA","cha",2,"V056891"
"15/06/2026","font","5","10:31","AFA","cha",3,"V056892"
"15/06/2026","font","5","10:31","AFA","cha",4,"V056893"
"15/06/2026","font","5","10:31","AFA","cha",5,"V056894"
"15/06/2026","font","5","10:31","AFA","cha",6,"V056895"
"15/05/2026","font","7","09:12","AFA","cha",1,"V041480"
